DV2,DV1,Productissues,BO,Advertisingassets,RDassets,Size,Profit,Liquidity,Leverage,Capitalintensity,Retainedearnings,Relativeperformance,Concentration,Salesgrowth,Salesturbulence,Industrycompetition,Industrygrowth,Industryturbulence,fyear
-11.569806,-.24355873,-.089604594,-.58253646,-.24351603,.22314589,.25579715,.040081017,.78871924,-.75097346,-.060685586,.20943443,-.13696057,-.49082217,.52969682,1.4892021,-.48264819,.5024901,.42159247,2012
-12.223284,-.079620369,-.089604594,-.88733906,-.24351603,.16229227,.29594561,.6736871,-.15843759,-.99638402,-1.0033602,.39077708,.023980845,.062303282,.89987046,.69784397,-.48519498,.73272496,.082392134,2013
-11.733173,-.25360906,-.089604594,-1.1227496,-.24351603,.10480648,.31332198,.32446402,-.17847449,-.99638402,-.9526881,.39077708,.0073079769,1.1836526,-.40389788,1.7260784,-.47547486,-.078172699,.9264527,2014
-8.8436165,.80333716,-.089604594,-1.1014843,-.24351603,.087141968,.32337022,.32690015,-.16435972,-.99638402,-.92068487,.39077708,-.14433701,1.3896265,-1.418856,1.5141232,-.44310579,-1.1718478,.43227443,2015
-7.6161242,.77733606,-.089604594,-1.1553315,-.24351603,.077459946,.32622972,.27559173,-.25935736,-.99638402,-.90137208,.39077708,-.1509558,1.2777765,-1.418856,1.1024892,-.40831554,-1.396577,.2558355,2016
-10.687465,.94483232,-.089604594,-1.0972561,-.24351603,.013772801,.40033546,.6736871,.8093276,-.99638402,-.89279175,.39077708,-.13906969,3.0129228,-1.418856,1.7260784,-.34849221,-1.3947804,.69145387,2017
-2.8953559,-.068301,-.089604594,.27727795,-.24351603,-.42124221,1.2127807,.35358346,-1.2775688,-.17416184,2.0757861,.31483826,-.11899575,-.48208797,.35782859,-.85723752,-.62121612,.39559412,-.58416343,2007
-3.2822235,.086784728,-.089604594,-.24714172,-.24351603,-.40549153,1.2091764,.37127993,-1.2341169,.20199378,2.0217555,.31919169,-.11724598,-.4333573,.27312702,-.85826808,-.59469068,.34291276,-.58460516,2008
-3.1620314,.076368287,-.089604594,-.17252667,-.24351603,-.39867917,1.2276155,.21924181,-1.2775688,.19513255,2.0236437,.30423948,-.15028073,-.43422484,.11718495,-.84244764,-.51942515,.24592233,-.577824,2009
-2.6423023,-.012714429,-.089604594,.5882985,-.24351603,-.39450029,1.2461431,.32866117,-1.1952571,.049086813,1.996026,.31375989,-.15125799,-.43573225,-.38158938,-.015886229,-.60585278,-.064297609,-.22353449,2010
